hhid,hv024,hv025,hv201,hv205,hv206,hv213,hv214,hv215,hv210,hv211,hv212,hv227,hv244,hv247,hv270,sh16_22,shstate
1002,3,1,31,21,1,34,31,31,0,0,0,1,1,0,4,,10
1004,3,1,61,21,1,22,31,31,1,0,1,1,1,1,4,,10
1007,3,1,21,21,1,34,31,31,0,1,0,1,0,0,4,,10
1010,3,1,21,21,1,34,31,31,1,1,1,1,0,0,5,,10
1013,3,1,61,21,1,33,31,31,0,1,1,1,0,1,5,,10
